,Algorithm,Failed(Out Of 100),Mean Expansions,Mean Necessary Expansions,Mean Iterations,Mean Runtime(Seconds)
0,A*,0.0,696.0,622.0,0.0,0.00037
1,I-A*,0.0,20357.0,622.0,0.0,0.00037
2,Rev-A*,0.0,748.0,682.0,0.0,0.0004
3,MM,0.0,1190.0,1055.0,0.0,0.00128
4,I-MM,0.0,40048.0,1055.0,0.0,0.00128
5,IDA*,0.0,236163.0,228314.0,0.0,0.01371
6,D-A*,0.0,11591.0,228314.0,0.0,0.01371
7,A*+IDMM(0.50),0.0,37444.0,205.0,0.0,0.00256
8,A*+IDMM(0.10),0.0,236292.0,34.0,0.0,0.01473
9,A*+IDMM(0.01),0.0,484100.0,1.0,0.0,0.02976
10,A*+IDA*(0.50),0.0,47978.0,47474.0,0.0,0.00294
11,A*+IDA*(0.10),0.0,163215.0,161048.0,0.0,0.00967
12,A*+IDA*(0.01),0.0,234065.0,228134.0,0.0,0.01396
13,A*+IDA*_Reverse(0.50),0.0,234271.0,226558.0,0.0,0.01405
14,A*+IDA*_Reverse(0.10),0.0,236164.0,228330.0,0.0,0.01401
15,A*+IDA*_Reverse(0.01),0.0,236165.0,228316.0,0.0,0.01394
16,A*+IDA*_Reverse+MinH(0.50),0.0,128309.0,124258.0,0.0,0.02101
17,A*+IDA*_Reverse+MinH(0.10),0.0,211210.0,204472.0,0.0,0.04351
18,A*+IDA*_Reverse+MinH(0.01),0.0,233928.0,226166.0,0.0,0.02974
19,Max_BAI(0.50),0.0,60538.0,58520.0,0.0,0.00477
20,Max_BAI(0.10),0.0,201516.0,195116.0,0.0,0.01548
21,Max_BAI(0.01),0.0,233534.0,225816.0,0.0,0.0166
22,SFBDS1,0.0,714321.0,689823.0,0.0,0.09196
23,IDTHSpTrans(0.50),0.0,41522.0,40063.0,0.0,0.01515
24,IDTHSpTrans(0.10),0.0,46248.0,44661.0,0.0,0.01816
25,IDTHSpTrans(0.01),0.0,266094.0,258101.0,0.0,0.05206
26,IDMM-0.5,0.0,2863615.0,2774202.0,0.0,0.15824
27,D-MM,0.0,88026.0,1719107.0,0.0,0.09923
28,IDTHS-BW,0.0,685562.0,664013.0,0.0,0.04023
