,Problem ID,Algorithm,Memory,Status,solLength,realSolLength
0,42.0,A*+IDA*_Reverse+MinH,32.0,1.0,19.0,18.0
1,44.0,A*+IDA*_Reverse+MinH,23.0,1.0,21.0,20.0
2,73.0,A*+IDA*_Reverse+MinH,34.0,1.0,34.0,33.0
3,102.0,A*+IDA*_Reverse+MinH,36.0,1.0,46.0,45.0
4,112.0,A*+IDA*_Reverse+MinH,60.0,1.0,51.0,50.0
5,115.0,A*+IDA*_Reverse+MinH,52.0,1.0,50.0,48.0
6,131.0,A*+IDA*_Reverse+MinH,230.0,1.0,57.0,54.0
7,144.0,A*+IDA*_Reverse+MinH,88.0,1.0,61.0,60.0
8,162.0,A*+IDA*_Reverse+MinH,56.0,1.0,67.0,66.0
9,170.0,A*+IDA*_Reverse+MinH,72.0,1.0,69.0,68.0
10,171.0,A*+IDA*_Reverse+MinH,31.0,1.0,74.0,72.0
11,232.0,A*+IDA*_Reverse+MinH,109.0,1.0,97.0,96.0
12,259.0,A*+IDA*_Reverse+MinH,244.0,1.0,105.0,104.0
13,280.0,A*+IDA*_Reverse+MinH,152.0,1.0,110.0,108.0
15,281.0,A*+IDA*_Reverse+MinH,63.0,1.0,116.0,114.0
14,281.0,A*+IDA*_Reverse+MinH,316.0,1.0,116.0,114.0
16,294.0,A*+IDA*_Reverse+MinH,1240.0,1.0,121.0,120.0
17,295.0,A*+IDA*_Reverse+MinH,574.0,1.0,124.0,119.0
18,304.0,A*+IDA*_Reverse+MinH,465.0,1.0,125.0,124.0
19,306.0,A*+IDA*_Reverse+MinH,482.0,1.0,125.0,124.0
20,319.0,A*+IDA*_Reverse+MinH,1390.0,1.0,130.0,129.0
21,320.0,A*+IDA*_Reverse+MinH,131.0,1.0,129.0,128.0
22,324.0,A*+IDA*_Reverse+MinH,110.0,1.0,138.0,136.0
23,325.0,A*+IDA*_Reverse+MinH,122.0,1.0,135.0,134.0
24,355.0,A*+IDA*_Reverse+MinH,121.0,1.0,150.0,148.0
26,366.0,A*+IDA*_Reverse+MinH,31.0,1.0,150.0,148.0
25,366.0,A*+IDA*_Reverse+MinH,157.0,1.0,150.0,148.0
27,367.0,A*+IDA*_Reverse+MinH,29.0,1.0,153.0,152.0
29,401.0,A*+IDA*_Reverse+MinH,206.0,1.0,164.0,163.0
28,401.0,A*+IDA*_Reverse+MinH,1032.0,1.0,164.0,163.0
