,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Runtime(seconds)
0,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MM,25935.0,1.0,3411.0,0.0284
1,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-MM,-,1.0,8077.0,0.0284
2,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(1.00),25935,1.0,34635.0,0.0621
3,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.90),23341,1.0,34635.0,0.0608
4,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.75),19451,1.0,34635.0,0.061
5,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.50),12967,1.0,52543.0,0.0897
6,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.25),6483,1.0,65914.0,0.1104
7,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.10),2593,1.0,241384.0,0.4012
8,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MM,73092.0,1.0,5594.0,0.0581
9,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,I-MM,-,1.0,16905.0,0.0581
