,Gap,Algorithm,Failed(Out Of 100),Mean Expansions,Mean Necessary Expansions,Mean Iterations,Mean Runtime(Seconds)
0,0.0,A*,0.0,16.0,6.0,0.0,0.0
1,0.0,I-A*,0.0,23.0,6.0,0.0,0.0
2,0.0,MM,0.0,32.0,8.0,0.0,0.0
3,0.0,I-MM,0.0,68.0,8.0,0.0,0.0
4,0.0,IDA*,0.0,27.0,7.0,0.0,0.0
5,0.0,D-A*,0.0,26.0,7.0,0.0,0.0
6,0.0,A*+IDA*(0.90),0.0,16.0,58.0,0.0,0.0
7,0.0,A*+IDA*(0.75),0.0,16.0,53.0,0.0,0.0
8,0.0,A*+IDA*(0.50),0.0,16.0,42.0,0.0,0.0
9,0.0,A*+IDA*(0.25),0.0,17.0,28.0,0.0,0.0
10,0.0,A*+IDA*(0.10),0.0,20.0,16.0,0.0,0.0
11,1.0,A*,0.0,673.0,617.0,0.0,0.002
12,1.0,I-A*,0.0,1347.0,617.0,0.0,0.002
13,1.0,MM,0.0,371.0,330.0,0.0,0.001
14,1.0,I-MM,0.0,794.0,330.0,0.0,0.001
15,1.0,IDA*,0.0,1805.0,1111.0,0.0,0.001
16,1.0,D-A*,0.0,1681.0,1111.0,0.0,0.001
17,1.0,A*+IDA*(0.90),0.0,719.0,1392.0,0.0,0.002
18,1.0,A*+IDA*(0.75),0.0,741.0,1329.0,0.0,0.002
19,1.0,A*+IDA*(0.50),0.0,789.0,1148.0,0.0,0.001
20,1.0,A*+IDA*(0.25),0.0,897.0,1114.0,0.0,0.001
21,1.0,A*+IDA*(0.10),0.0,1021.0,999.0,0.0,0.001
22,2.0,A*,0.0,9123.0,8360.0,0.0,0.034
23,2.0,I-A*,0.0,19073.0,8360.0,0.0,0.034
24,2.0,MM,0.0,2049.0,1829.0,0.0,0.005
25,2.0,I-MM,0.0,3464.0,1829.0,0.0,0.005
26,2.0,IDA*,0.0,44904.0,33204.0,0.0,0.024
27,2.0,D-A*,0.0,40829.0,33204.0,0.0,0.024
28,2.0,A*+IDA*(0.90),0.0,12911.0,14823.0,0.0,0.022
29,2.0,A*+IDA*(0.75),0.0,13975.0,15384.0,0.0,0.019
30,2.0,A*+IDA*(0.50),0.0,16770.0,17047.0,0.0,0.02
31,2.0,A*+IDA*(0.25),0.0,22104.0,19733.0,0.0,0.023
32,2.0,A*+IDA*(0.10),0.0,27382.0,23342.0,0.0,0.027
33,3.0,A*,0.0,57256.0,49464.0,0.0,0.225
34,3.0,I-A*,0.0,122616.0,49464.0,0.0,0.225
35,3.0,MM,0.0,2981.0,2821.0,0.0,0.007
36,3.0,I-MM,0.0,4726.0,2821.0,0.0,0.007
37,3.0,IDA*,0.0,745192.0,557997.0,0.0,0.387
38,3.0,D-A*,0.0,663094.0,557997.0,0.0,0.387
39,3.0,A*+IDA*(0.90),0.0,236299.0,228210.0,0.0,0.267
40,3.0,A*+IDA*(0.75),0.0,253761.0,242082.0,0.0,0.272
41,3.0,A*+IDA*(0.50),0.0,288613.0,272550.0,0.0,0.285
42,3.0,A*+IDA*(0.25),0.0,373067.0,348599.0,0.0,0.354
43,3.0,A*+IDA*(0.10),0.0,460600.0,422486.0,0.0,0.432
