,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Necessary Expansions,Iterations,Runtime(seconds)
0,10.0,0.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,7.0,A*,74.0,1.0,9.0,5.0,0.0,0.0001
1,10.0,0.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,7.0,I-A*,-,1.0,14.0,5.0,0.0,0.0001
2,10.0,0.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,7.0,MM,494.0,1.0,62.0,7.0,0.0,0.0002
3,10.0,0.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,7.0,I-MM,-,1.0,113.0,7.0,0.0,0.0002
4,10.0,0.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,7.0,IDA*,-,1.0,47.0,5.0,0.0,0.0
5,10.0,0.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,7.0,D-A*,-,1.0,42.0,5.0,0.0,0.0
6,10.0,0.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.90),66,1.0,9.0,41.0,0.0,0.0
7,10.0,0.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.75),55,1.0,9.0,40.0,0.0,0.0
8,10.0,0.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.50),37,1.0,8.0,21.0,0.0,0.0
9,10.0,0.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.25),18,1.0,18.0,17.0,0.0,0.0
10,10.0,0.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.10),7,1.0,28.0,11.0,0.0,0.0
11,10.0,0.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,9.0,A*,74.0,1.0,9.0,0.0,0.0,0.0
12,10.0,0.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,9.0,I-A*,-,1.0,9.0,0.0,0.0,0.0
13,10.0,0.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,9.0,MM,73.0,1.0,9.0,0.0,0.0,0.0
14,10.0,0.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,9.0,I-MM,-,1.0,29.0,0.0,0.0,0.0
15,10.0,0.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,9.0,IDA*,-,1.0,9.0,0.0,0.0,0.0
16,10.0,0.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,9.0,D-A*,-,1.0,9.0,0.0,0.0,0.0
17,10.0,0.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,9.0,A*+IDA*(0.90),65,1.0,9.0,36.0,0.0,0.0
18,10.0,0.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,9.0,A*+IDA*(0.75),54,1.0,9.0,35.0,0.0,0.0
19,10.0,0.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,9.0,A*+IDA*(0.50),36,1.0,9.0,30.0,0.0,0.0
20,10.0,0.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,9.0,A*+IDA*(0.25),18,1.0,9.0,21.0,0.0,0.0
21,10.0,0.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,9.0,A*+IDA*(0.10),7,1.0,9.0,8.0,0.0,0.0
22,10.0,0.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,10.0,A*,90.0,1.0,11.0,0.0,0.0,0.0
23,10.0,0.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,10.0,I-A*,-,1.0,11.0,0.0,0.0,0.0
24,10.0,0.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,10.0,MM,257.0,1.0,32.0,0.0,0.0,0.0001
25,10.0,0.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,10.0,I-MM,-,1.0,68.0,0.0,0.0,0.0001
26,10.0,0.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,10.0,IDA*,-,1.0,11.0,0.0,0.0,0.0
27,10.0,0.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,10.0,D-A*,-,1.0,11.0,0.0,0.0,0.0
28,10.0,0.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,10.0,A*+IDA*(0.90),81,1.0,11.0,45.0,0.0,0.0
29,10.0,0.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,10.0,A*+IDA*(0.75),67,1.0,11.0,44.0,0.0,0.0
30,10.0,0.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,10.0,A*+IDA*(0.50),45,1.0,11.0,35.0,0.0,0.0
31,10.0,0.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,10.0,A*+IDA*(0.25),22,1.0,11.0,22.0,0.0,0.0
32,10.0,0.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,10.0,A*+IDA*(0.10),9,1.0,11.0,2.0,0.0,0.0
33,10.0,0.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,7.0,A*,90.0,1.0,11.0,0.0,0.0,0.0
34,10.0,0.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,7.0,I-A*,-,1.0,11.0,0.0,0.0,0.0
35,10.0,0.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,7.0,MM,75.0,1.0,9.0,0.0,0.0,0.0
36,10.0,0.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,7.0,I-MM,-,1.0,22.0,0.0,0.0,0.0
37,10.0,0.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,7.0,IDA*,-,1.0,11.0,0.0,0.0,0.0
38,10.0,0.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,7.0,D-A*,-,1.0,11.0,0.0,0.0,0.0
39,10.0,0.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.90),67,1.0,11.0,30.0,0.0,0.0
40,10.0,0.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.75),56,1.0,11.0,25.0,0.0,0.0
41,10.0,0.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.50),37,1.0,11.0,19.0,0.0,0.0
42,10.0,0.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.25),18,1.0,11.0,14.0,0.0,0.0
43,10.0,0.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.10),7,1.0,11.0,6.0,0.0,0.0
44,10.0,0.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,7.0,A*,58.0,1.0,7.0,0.0,0.0,0.0
45,10.0,0.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,7.0,I-A*,-,1.0,7.0,0.0,0.0,0.0
46,10.0,0.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,7.0,MM,106.0,1.0,13.0,0.0,0.0,0.0
47,10.0,0.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,7.0,I-MM,-,1.0,27.0,0.0,0.0,0.0
48,10.0,0.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,7.0,IDA*,-,1.0,7.0,0.0,0.0,0.0
