,Gap,Algorithm,Failed(Out Of 100),Mean Expansions,Mean Necessary Expansions,Mean Iterations,Mean Runtime(Seconds)
0,2.0,A*,0.0,7117.0,6885.0,0.0,0.017
1,2.0,I-A*,0.0,15222.0,6885.0,0.0,0.017
2,2.0,MM,0.0,2053.0,1874.0,0.0,0.004
3,2.0,I-MM,0.0,3032.0,1874.0,0.0,0.004
4,2.0,MM+IDMM(0.90),0.0,4494374.0,3799491.0,0.0,5.602
5,2.0,MM+IDMM(0.75),0.0,4640073.0,3873202.0,0.0,5.697
6,2.0,MM+IDMM(0.50),0.0,7243916.0,5373625.0,0.0,8.806
7,2.0,MM+IDMM(0.25),0.0,8005573.0,6939713.0,0.0,9.388
8,2.0,MM+IDMM(0.10),0.0,10243646.0,8328950.0,0.0,11.796
9,2.0,A*+IDA*(0.90),0.0,10225.0,12995.0,0.0,0.014
10,2.0,A*+IDA*(0.75),0.0,11124.0,12971.0,0.0,0.014
11,2.0,A*+IDA*(0.50),0.0,13994.0,12947.0,0.0,0.016
12,2.0,A*+IDA*(0.25),0.0,19419.0,14003.0,0.0,0.02
13,2.0,A*+IDA*(0.10),0.0,23553.0,15855.0,0.0,0.022
14,2.0,"MBBDS(k=1,ThreePhase=1)(0.90)",0.0,9004.0,4768.0,4.0,0.009
15,2.0,"MBBDS(k=1,ThreePhase=1)(0.75)",0.0,8840.0,4942.0,5.0,0.008
16,2.0,"MBBDS(k=1,ThreePhase=1)(0.50)",0.0,8728.0,5282.0,5.0,0.007
17,2.0,"MBBDS(k=1,ThreePhase=1)(0.25)",0.0,10674.0,6659.0,7.0,0.008
18,2.0,"MBBDS(k=1,ThreePhase=1)(0.10)",0.0,33343.0,10251.0,18.0,0.028
