,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Necessary Expansions,Iterations,Runtime(seconds)
0,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,A*,11088.0,1.0,1697.0,1687.0,0.0,0.0056
1,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,I-A*,-,1.0,3609.0,1687.0,0.0,0.0056
2,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,MM,3653.0,1.0,583.0,583.0,0.0,0.0014
3,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,I-MM,-,1.0,740.0,583.0,0.0,0.0014
4,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.90),3287,1.0,131462.0,81824.0,0.0,0.1617
5,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.75),2739,1.0,135866.0,103169.0,0.0,0.1705
6,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.50),1826,1.0,193485.0,106110.0,0.0,0.2399
7,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.25),913,1.0,568892.0,114418.0,0.0,0.6963
8,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.10),365,1.0,1784687.0,131901.0,0.0,2.0201
9,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.90),3287,1.0,1821.0,3233.0,0.0,0.0031
10,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.75),2739,1.0,1839.0,3175.0,0.0,0.0027
11,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.50),1826,1.0,2450.0,3072.0,0.0,0.0029
12,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.25),913,1.0,12197.0,2531.0,0.0,0.0115
13,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.10),365,1.0,10130.0,2448.0,0.0,0.0097
14,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.90)",3287,1.0,2862.0,1797.0,8.0,0.0031
15,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.75)",2739,1.0,2711.0,1722.0,6.0,0.0027
16,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.50)",1826,1.0,2579.0,1722.0,6.0,0.0025
17,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.25)",913,1.0,2456.0,1722.0,6.0,0.0021
18,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.10)",365,1.0,3558.0,2436.0,11.0,0.0027
19,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,A*,21996.0,1.0,3488.0,1109.0,0.0,0.0103
20,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,I-A*,-,1.0,4665.0,1109.0,0.0,0.0103
21,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,MM,6226.0,1.0,843.0,707.0,0.0,0.0019
22,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,I-MM,-,1.0,1664.0,707.0,0.0,0.0019
23,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.90),5603,1.0,535949.0,758.0,0.0,0.7879
24,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.75),4669,1.0,688184.0,246911.0,0.0,0.8793
25,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.50),3113,1.0,806717.0,304237.0,0.0,0.9817
