,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Necessary Expansions,Iterations,Runtime(seconds)
0,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,A*,11088.0,1.0,1697.0,1687.0,0.0,0.0058
1,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,I-A*,-,1.0,3609.0,1687.0,0.0,0.0058
2,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,MM,3653.0,1.0,583.0,583.0,0.0,0.0014
3,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,I-MM,-,1.0,740.0,583.0,0.0,0.0014
4,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,IDA*,-,1.0,16182.0,2476.0,0.0,0.0087
5,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,D-A*,-,1.0,14390.0,2476.0,0.0,0.0087
6,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.90),3287,1.0,1121.0,655.0,0.0,0.008
7,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.75),2739,1.0,866.0,626.0,0.0,0.0073
8,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.50),1826,1.0,1458.0,638.0,0.0,0.0082
9,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.25),913,1.0,2943.0,651.0,0.0,0.0124
10,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.10),365,1.0,7842.0,1043.0,0.0,0.0116
11,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.90),3287,1.0,1821.0,3233.0,0.0,0.003
12,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.75),2739,1.0,1839.0,3175.0,0.0,0.0026
13,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.50),1826,1.0,2450.0,3072.0,0.0,0.0029
14,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.25),913,1.0,12197.0,2531.0,0.0,0.0114
15,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.10),365,1.0,10130.0,2448.0,0.0,0.0095
16,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.90)",3287,1.0,2862.0,1797.0,8.0,0.003
17,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.75)",2739,1.0,2711.0,1722.0,6.0,0.0027
18,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.50)",1826,1.0,2579.0,1722.0,6.0,0.0023
19,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.25)",913,1.0,2456.0,1722.0,6.0,0.002
20,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.10)",365,1.0,3558.0,2436.0,11.0,0.0026
21,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,IDMM,-,1.0,12348.0,1455.0,0.0,0.0128
22,10.0,2.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,4.0,D-MM,-,1.0,3344.0,1455.0,0.0,0.0128
23,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,A*,21996.0,1.0,3488.0,1109.0,0.0,0.0098
24,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,I-A*,-,1.0,4665.0,1109.0,0.0,0.0098
25,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,MM,6226.0,1.0,843.0,707.0,0.0,0.0018
26,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,I-MM,-,1.0,1664.0,707.0,0.0,0.0018
27,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,IDA*,-,1.0,2993.0,1458.0,0.0,0.0017
28,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,D-A*,-,1.0,2868.0,1458.0,0.0,0.0017
29,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.90),5603,1.0,1080.0,758.0,0.0,0.043
30,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.75),4669,1.0,1157.0,773.0,0.0,0.0553
31,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.50),3113,1.0,1326.0,681.0,0.0,0.0408
32,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.25),1556,1.0,2569.0,805.0,0.0,0.0675
33,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.10),622,1.0,3565.0,1049.0,0.0,0.024
34,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.90),5603,1.0,15268.0,3122.0,0.0,0.0172
