,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Runtime(seconds)
0,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,A*,25249.0,1.0,1929.0,0.0137
1,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-A*,-,1.0,4045.0,0.0137
2,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MM,25935.0,1.0,3411.0,0.0142
3,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-MM,-,1.0,8077.0,0.0142
4,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,IDA*,-,1.0,5443.0,0.0051
5,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,D-A*,-,1.0,2737.0,0.0051
6,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(1.00),25935,1.0,33133.0,0.0399
7,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.90),23341,1.0,33133.0,0.0398
8,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.75),19451,1.0,33133.0,0.0394
9,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.50),12967,1.0,33133.0,0.0397
10,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.25),6483,1.0,51041.0,0.061
11,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.10),2593,1.0,109531.0,0.1333
12,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,IDMM,-,1.0,5063.0,0.005
13,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,D-MM,-,1.0,2472.0,0.005
14,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,A*,35134.0,1.0,2711.0,0.0139
15,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,I-A*,-,1.0,5631.0,0.0139
16,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MM,73092.0,1.0,5594.0,0.0305
17,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,I-MM,-,1.0,16905.0,0.0305
18,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,IDA*,-,1.0,7262.0,0.0063
19,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,D-A*,-,1.0,3833.0,0.0063
20,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(1.00),73092,1.0,1026532.0,1.1825
21,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.90),65782,1.0,1026532.0,1.1919
22,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.75),54819,1.0,1318950.0,1.5358
23,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.50),36546,1.0,1812386.0,2.1862
24,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.25),18273,0.0,-,-
25,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,IDMM,-,1.0,6976,0.0062
26,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,D-MM,-,1.0,3650,0.0062
27,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,A*,147798.0,1.0,11922,0.0831
28,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-A*,-,1.0,25273,0.0831
29,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MM,248331.0,1.0,19883,0.109
30,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-MM,-,1.0,56441,0.109
31,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,IDA*,-,1.0,22060,0.0202
32,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,D-A*,-,1.0,4214,0.0202
33,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(1.00),248331,1.0,28151,0.0401
34,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.90),223497,1.0,28151,0.0399
35,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.75),186248,1.0,28151,0.0398
36,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.50),124165,1.0,28151,0.0395
37,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.25),62082,1.0,345663,0.3954
38,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.10),24833,1.0,414116,0.4879
39,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,IDMM,-,1.0,22915,0.0233
40,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,D-MM,-,1.0,4979,0.0233
41,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,A*,110789.0,1.0,8711,0.0407
42,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,I-A*,-,1.0,18135,0.0407
43,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MM,104606.0,1.0,14403,0.0501
44,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,I-MM,-,1.0,35387,0.0501
45,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,IDA*,-,1.0,17284,0.0178
46,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,D-A*,-,1.0,1689,0.0178
47,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(1.00),104606,1.0,177145,0.2243
48,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.90),94145,1.0,177145,0.2243
49,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.75),78454,1.0,177145,0.224
50,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.50),52303,1.0,260176,0.3211
51,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.25),26151,1.0,260176,0.3298
52,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.10),10460,1.0,676192,0.8779
53,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,IDMM,-,1.0,18276,0.022
54,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,D-MM,-,1.0,1861,0.022
55,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,A*,714538.0,1.0,59712,0.4625
56,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,I-A*,-,1.0,125519,0.4625
57,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MM,1173771.0,1.0,97274,0.8175
58,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,I-MM,-,1.0,286721,0.8175
59,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,IDA*,-,1.0,122446,0.1102
60,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,D-A*,-,1.0,18491,0.1102
61,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(1.00),1173771,1.0,143693,0.2346
62,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.90),1056393,1.0,143693,0.2309
63,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.75),880328,1.0,143693,0.2323
64,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.50),586885,1.0,143693,0.2321
65,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.25),293442,1.0,2244038,2.6229
66,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.10),117377,1.0,2701106,3.2924
67,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,IDMM,-,1.0,133556,0.1416
68,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,D-MM,-,1.0,20592,0.1416
69,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,A*,45450.0,1.0,3483,0.0145
70,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,I-A*,-,1.0,6082,0.0145
71,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MM,88802.0,1.0,6789,0.0273
72,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,I-MM,-,1.0,17420,0.0273
73,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,IDA*,-,1.0,29498,0.0273
74,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,D-A*,-,1.0,26376,0.0273
75,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(1.00),88802,1.0,744677,0.911
76,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.90),79921,1.0,744677,0.9065
77,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.75),66601,1.0,983901,1.1697
78,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.50),44401,1.0,1217305,1.4778
79,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.25),22200,0.0,-,-
80,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,IDMM,-,1.0,29864,0.0292
81,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,D-MM,-,1.0,26738,0.0292
82,16.0,0.0,7.0, 8 11 10 9 13 12 15 14 3 1 2 0 7 6 5 4, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,A*,472.0,1.0,35,0.0002
83,16.0,0.0,7.0, 8 11 10 9 13 12 15 14 3 1 2 0 7 6 5 4, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-A*,-,1.0,65,0.0002
84,16.0,0.0,7.0, 8 11 10 9 13 12 15 14 3 1 2 0 7 6 5 4, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MM,4249.0,1.0,310,0.0013
85,16.0,0.0,7.0, 8 11 10 9 13 12 15 14 3 1 2 0 7 6 5 4, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-MM,-,1.0,653,0.0013
86,16.0,0.0,7.0, 8 11 10 9 13 12 15 14 3 1 2 0 7 6 5 4, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,IDA*,-,1.0,149,0.0002
87,16.0,0.0,7.0, 8 11 10 9 13 12 15 14 3 1 2 0 7 6 5 4, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,D-A*,-,1.0,117,0.0002
