,Gap,Algorithm,Failed(Out Of 100),Mean Expansions,Mean Runtime(Seconds),,,,
0,0,MM,0,12365,0.115,,,,0.9
1,0,I-MM,0,30624,0.115,,,,0.75
,,,,12365,,1.00,,,0.5
2,0,MBBDS(k=1)(0.90),0,143911,0.387,11.64,,,0.25
3,0,MBBDS(k=1)(0.75),0,143869,0.36,11.64,,,0.1
4,0,MBBDS(k=1)(0.50),0,174098,0.401,14.08,,,
5,0,MBBDS(k=1)(0.25),0,243323,0.466,19.68,,,
6,0,MBBDS(k=1)(0.10),0,1027535,1.885,83.10,,,
7,1,MM,0,190397,2.258,,,,
8,1,I-MM,0,341090,2.258,,,,
9,,,,190397,,1.00,,,
10,1,MBBDS(k=1)(0.90),0,1786757,7.184,9.38,,,
11,1,MBBDS(k=1)(0.75),0,1816306,6.767,9.54,,,
12,1,MBBDS(k=1)(0.50),0,1921784,6.202,10.09,,,
13,1,MBBDS(k=1)(0.25),0,2778138,7.293,14.59,,,
14,1,MBBDS(k=1)(0.10),0,10851126,23.952,56.99,,,
15,2,MM,0,726577,9.558,,,,
16,2,I-MM,0,1127257,9.558,,,,
17,,,,726577,,1.00,,,
18,2,MBBDS(k=1)(0.90),0,5637598,27.853,7.76,,,
19,2,MBBDS(k=1)(0.75),0,5605999,25.701,7.72,,,
20,2,MBBDS(k=1)(0.50),0,5598333,22.35,7.71,,,
21,2,MBBDS(k=1)(0.25),0,8171920,26.282,11.25,,,
22,2,MBBDS(k=1)(0.10),0,12673003,35.532,17.44,,,
23,3,MM,0,1398325,27.797,,,,
24,3,I-MM,0,1989087,27.797,,,,
25,,,,1398325,,1.00,,,
26,3,MBBDS(k=1)(0.90),0,9252427,78.791,6.62,,,
27,3,MBBDS(k=1)(0.75),0,9132901,57.118,6.53,,,
,3,MBBDS(k=1)(0.50),0,9109978,41.463,6.51,,,
,3,MBBDS(k=1)(0.25),0,12199854,43.162,8.72,,,
,3,MBBDS(k=1)(0.10),0,17526791,53.156,12.53,,,
