,Gap,Algorithm,Failed(Out Of 100),Mean Expansions,Mean Runtime(Seconds)
0,0.0,MM,0.0,12365.0,0.111
1,0.0,I-MM,0.0,30624.0,0.111
2,0.0,MBBDS(k=1)(1.00),0.0,137625.0,0.29
3,0.0,MBBDS(k=1)(0.90),0.0,137625.0,0.287
4,0.0,MBBDS(k=1)(0.75),0.0,138747.0,0.284
5,0.0,MBBDS(k=1)(0.50),0.0,170943.0,0.33
6,0.0,MBBDS(k=1)(0.25),0.0,242154.0,0.434
7,0.0,MBBDS(k=1)(0.10),0.0,1030146.0,1.803
8,1.0,MM,0.0,190397.0,2.293
9,1.0,I-MM,0.0,341090.0,2.293
10,1.0,MBBDS(k=1)(1.00),0.0,1696501.0,5.737
11,1.0,MBBDS(k=1)(0.90),0.0,1705762.0,5.457
12,1.0,MBBDS(k=1)(0.75),0.0,1748312.0,5.376
13,1.0,MBBDS(k=1)(0.50),0.0,1884006.0,5.372
14,1.0,MBBDS(k=1)(0.25),0.0,2768127.0,6.997
15,1.0,MBBDS(k=1)(0.10),0.0,10828281.0,23.999
16,2.0,MM,0.0,726577.0,9.602
17,2.0,I-MM,0.0,1127257.0,9.602
18,2.0,MBBDS(k=1)(1.00),0.0,5329290.0,21.735
19,2.0,MBBDS(k=1)(0.90),0.0,5335492.0,20.34
20,2.0,MBBDS(k=1)(0.75),0.0,5371575.0,19.679
21,2.0,MBBDS(k=1)(0.50),0.0,5481356.0,18.653
22,2.0,MBBDS(k=1)(0.25),0.0,8109476.0,24.515
23,2.0,MBBDS(k=1)(0.10),0.0,12644981.0,34.968
24,3.0,MM,0.0,1398325.0,24.851
25,3.0,I-MM,0.0,1989087.0,24.851
26,3.0,MBBDS(k=1)(1.00),0.0,8520754.0,40.671
27,3.0,MBBDS(k=1)(0.90),0.0,8580897.0,36.257
28,3.0,MBBDS(k=1)(0.75),0.0,8640837.0,34.828
29,3.0,MBBDS(k=1)(0.50),0.0,8786062.0,32.374
30,3.0,MBBDS(k=1)(0.25),0.0,12061900.0,39.155
31,3.0,MBBDS(k=1)(0.10),0.0,17468625.0,51.747
