,Gap,Algorithm,Failed(Out Of 100),Mean Expansions,Mean Iterations,Mean Runtime(Seconds)
0,0.0,A*,0.0,21.0,0.0,0.0
1,0.0,I-A*,0.0,29.0,0.0,0.0
2,0.0,MM,0.0,36.0,0.0,0.0
3,0.0,I-MM,0.0,76.0,0.0,0.0
4,1.0,A*,0.0,472.0,0.0,0.001
5,1.0,I-A*,0.0,962.0,0.0,0.001
6,1.0,MM,0.0,371.0,0.0,0.001
7,1.0,I-MM,0.0,673.0,0.0,0.001
8,2.0,A*,0.0,7117.0,0.0,0.026
9,2.0,I-A*,0.0,15222.0,0.0,0.026
10,2.0,MM,0.0,2053.0,0.0,0.005
11,2.0,I-MM,0.0,3032.0,0.0,0.005
12,3.0,A*,0.0,42995.0,0.0,0.246
13,3.0,I-A*,0.0,95451.0,0.0,0.246
14,3.0,MM,0.0,3368.0,0.0,0.01
15,3.0,I-MM,0.0,4615.0,0.0,0.01
