,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Iterations,Runtime(seconds)
0,10.0,0.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,7.0,A*,74.0,1.0,9.0,0.0,0.0001
1,10.0,0.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,7.0,I-A*,-,1.0,14.0,0.0,0.0001
2,10.0,0.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,7.0,MM,494.0,1.0,62.0,0.0,0.0002
3,10.0,0.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,7.0,I-MM,-,1.0,113.0,0.0,0.0002
4,10.0,0.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,9.0,A*,74.0,1.0,9.0,0.0,0.0
5,10.0,0.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,9.0,I-A*,-,1.0,9.0,0.0,0.0
6,10.0,0.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,9.0,MM,73.0,1.0,9.0,0.0,0.0
7,10.0,0.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,9.0,I-MM,-,1.0,29.0,0.0,0.0
8,10.0,0.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,10.0,A*,90.0,1.0,11.0,0.0,0.0
9,10.0,0.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,10.0,I-A*,-,1.0,11.0,0.0,0.0
10,10.0,0.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,10.0,MM,257.0,1.0,32.0,0.0,0.0001
11,10.0,0.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,10.0,I-MM,-,1.0,68.0,0.0,0.0001
12,10.0,0.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,7.0,A*,90.0,1.0,11.0,0.0,0.0
13,10.0,0.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,7.0,I-A*,-,1.0,11.0,0.0,0.0
14,10.0,0.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,7.0,MM,75.0,1.0,9.0,0.0,0.0
15,10.0,0.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,7.0,I-MM,-,1.0,22.0,0.0,0.0
16,10.0,0.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,7.0,A*,58.0,1.0,7.0,0.0,0.0
17,10.0,0.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,7.0,I-A*,-,1.0,7.0,0.0,0.0
18,10.0,0.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,7.0,MM,106.0,1.0,13.0,0.0,0.0
